hs1	0	87	-2
hs1	591	671	-2
hs14	0	92	-3
hs14	7393	7485	-5
hs14	8486	8582	-4
hs14	10209	10290	-3
hs15	0	66	-3
hs15	1259	1354	-4
hs15	1728	1790	-3
hs15	3666	3751	-2
hs15	7568	7648	-3
hs15	11689	11770	-2
hs15	17624	17689	-3
hs15	18153	18233	-3
hs15	18370	18469	-3
hs15	23854	23928	-4
hs15	24389	24472	-3
hs15	27484	27580	-3
hs15	32240	32315	-3
hs15	32621	32693	-3
hs15	33353	33425	-3
hs15	37689	37772	-3
hs15	43234	43312	-3
hs15	43532	43601	-3
hs15	44658	44735	-3
hs16	0	100	-2
hs16	363	472	-2
hs17	0	86	-3
hs17	296	407	-3
hs19	0	69	-2
hs19	174	252	-2
hs19	642	727	-3
hs21	0	96	-2
hs21	4987	5057	-2
hs21	5273	5370	-2
hs5	0	105	-3
hs5	1728	1815	-5
